,won,games,max stake,% won
299,False,12,4000.0,42.0
300,True,18,8000.0,56.00000000000001
301,False,9,6000.0,33.0
302,True,20,8000.0,50.0
303,False,18,8000.0,50.0
304,True,15,8000.0,67.0
305,False,7,4000.0,14.000000000000002
306,True,19,6000.0,63.0
307,True,16,4000.0,62.0
308,False,36,8000.0,50.0
309,False,5,4000.0,20.0
310,False,4,4000.0,0.0
311,False,14,8000.0,36.0
312,True,20,8000.0,50.0
313,True,22,8000.0,45.0
314,False,15,8000.0,47.0
315,False,20,8000.0,30.0
316,True,18,4000.0,56.00000000000001
317,True,43,8000.0,53.0
318,False,7,6000.0,43.0
319,False,4,4000.0,0.0
320,False,20,8000.0,40.0
321,True,24,6000.0,50.0
322,True,44,8000.0,59.0
323,True,17,8000.0,59.0
324,False,20,4000.0,30.0
325,True,15,2000.0,67.0
326,False,4,4000.0,0.0
327,False,6,5000.0,33.0
328,True,16,4000.0,62.0
329,False,7,5000.0,28.999999999999996
330,False,19,6000.0,42.0
331,True,17,8000.0,59.0
332,True,25,4000.0,56.00000000000001
333,True,21,6000.0,56.99999999999999
334,True,19,6000.0,63.0
335,False,4,4000.0,0.0
336,False,7,4000.0,14.000000000000002
337,False,28,8000.0,50.0
338,False,9,4000.0,22.0
339,False,8,7000.0,50.0
340,False,16,8000.0,44.0
341,False,10,8000.0,50.0
342,False,4,4000.0,0.0
343,True,15,4000.0,67.0
344,True,16,8000.0,62.0
345,True,19,4000.0,53.0
346,True,21,8000.0,48.0
347,False,24,8000.0,42.0
348,False,10,4000.0,20.0
349,True,26,8000.0,50.0
350,False,15,8000.0,53.0
351,False,4,4000.0,0.0
352,True,17,7000.0,65.0
353,True,32,4000.0,56.00000000000001
354,False,10,5000.0,30.0
355,False,11,4000.0,27.0
356,True,17,2000.0,59.0
357,False,12,8000.0,42.0
358,False,4,4000.0,0.0
359,False,13,7000.0,31.0
360,True,58,8000.0,53.0
361,False,15,8000.0,47.0
362,True,17,4000.0,59.0
363,False,14,6000.0,36.0
364,False,8,5000.0,25.0
365,True,19,8000.0,53.0
366,False,9,7000.0,44.0
367,False,4,4000.0,0.0
368,True,29,4000.0,55.00000000000001
369,False,13,8000.0,46.0
370,True,18,4000.0,56.00000000000001
371,False,10,5000.0,20.0
372,False,36,8000.0,44.0
373,True,23,8000.0,48.0
374,True,18,4000.0,56.00000000000001
375,False,9,7000.0,44.0
376,True,22,8000.0,64.0
377,False,8,5000.0,25.0
378,False,16,5000.0,44.0
379,True,19,8000.0,53.0
380,False,9,7000.0,44.0
381,True,16,4000.0,62.0
382,False,22,8000.0,45.0
383,False,15,8000.0,47.0
384,False,4,4000.0,0.0
385,True,44,8000.0,50.0
386,False,7,6000.0,43.0
387,True,15,4000.0,67.0
388,True,16,4000.0,62.0
389,True,17,4000.0,59.0
390,False,8,6000.0,38.0
391,False,9,7000.0,44.0
392,True,19,4000.0,53.0
393,True,17,4000.0,59.0
394,False,47,8000.0,43.0
395,False,11,8000.0,45.0
396,False,7,6000.0,43.0
397,False,18,8000.0,50.0
398,True,31,7000.0,55.00000000000001
399,False,13,8000.0,46.0
400,False,26,7000.0,38.0
401,True,13,4000.0,77.0
402,True,18,8000.0,56.00000000000001
403,False,7,4000.0,14.000000000000002
404,True,27,4000.0,56.00000000000001
405,False,14,4000.0,28.999999999999996
406,True,14,2000.0,71.0
